Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electric	Option=Gas	Option=None	Option=Propane	Option=Void	source_count	source_weight	sampling_probability
None	0-100%	Multi-Family with 5+ Units	Electricity	CA	Renter	0	0	1	0	0	0.603894	10289.2	0.00138684
None	0-100%	Multi-Family with 5+ Units	Electricity	CO	Not Available	0	0	0	0	1	0.414318	1605.04	0
None	0-100%	Multi-Family with 5+ Units	Electricity	CO	Owner	0	0	1	0	0	9.41316e-22	1.90884e-39	6.11604e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	CO	Renter	0	0	1	0	0	0.414318	1605.04	0.000117969
None	0-100%	Multi-Family with 5+ Units	Electricity	CT	Not Available	0	0	0	0	1	0.38569	5031.12	0
None	0-100%	Multi-Family with 5+ Units	Electricity	CT	Owner	0	0	1	0	0	0.059046	37.6704	2.04478e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	CT	Renter	0	0	1	0	0	0.298114	4198.1	0.000119142
None	0-100%	Multi-Family with 5+ Units	Electricity	DC	Not Available	0	0	0	0	1	0.165461	304.31	0
None	0-100%	Multi-Family with 5+ Units	Electricity	DC	Owner	0	0	1	0	0	1.27178e-21	5.63799e-39	1.82593e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	DC	Renter	0	0	1	0	0	0.165461	304.31	7.75124e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	DE	Not Available	0	0	0	0	1	10.133	422.127	0
None	0-100%	Multi-Family with 5+ Units	Electricity	DE	Owner	0	0	1	0	0	2.37796e-20	2.44045e-38	6.36905e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	DE	Renter	0	0	1	0	0	9.38239	422.127	2.34882e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	FL	Not Available	0	0	0	0	1	0.151062	2462.3	0
None	0-100%	Multi-Family with 5+ Units	Electricity	FL	Owner	0	0	1	0	0	0.033175	54.9123	0.000103873
None	0-100%	Multi-Family with 5+ Units	Electricity	FL	Renter	0	0	1	0	0	0.105826	1781.8	0.00104371
None	0-100%	Multi-Family with 5+ Units	Electricity	GA	Not Available	0	0	0	0	1	8.47568	638.551	0
None	0-100%	Multi-Family with 5+ Units	Electricity	GA	Owner	0	0	1	0	0	2.92214e-21	7.9678e-40	4.28011e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	GA	Renter	0	0	1	0	0	7.84785	638.551	0.000373893
None	0-100%	Multi-Family with 5+ Units	Electricity	HI	Not Available	0	0	0	0	1	2.12966	45.5864	0
None	0-100%	Multi-Family with 5+ Units	Electricity	HI	Owner	0	0	1	0	0	0.193585	0.455768	1.87067e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	HI	Renter	0	0	1	0	0	1.74247	36.9258	3.30172e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	IA	Not Available	0	0	0	0	1	5.15844	1116.42	0
None	0-100%	Multi-Family with 5+ Units	Electricity	IA	Owner	0	0	1	0	0	5.69654e-21	5.67521e-39	1.64125e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	IA	Renter	0	0	1	0	0	5.05317	1116.42	0.000102354
None	0-100%	Multi-Family with 5+ Units	Electricity	ID	Not Available	0	0	0	0	1	2.61371	887.245	0
None	0-100%	Multi-Family with 5+ Units	Electricity	ID	Owner	0	0	1	0	0	1.44728e-20	2.94242e-38	3.03528e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	ID	Renter	0	0	1	0	0	2.61371	887.245	3.9723e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	IL	Not Available	0	0	0	0	1	0.388584	5363.56	0
None	0-100%	Multi-Family with 5+ Units	Electricity	IL	Owner	0	0	1	0	0	0.0339315	57.6709	1.45979e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	IL	Renter	0	0	1	0	0	0.311628	4308.9	0.000550936
None	0-100%	Multi-Family with 5+ Units	Electricity	IN	Not Available	0	0	0	0	1	4.32908	1207.21	0
None	0-100%	Multi-Family with 5+ Units	Electricity	IN	Owner	0	0	1	0	0	3.04977e-21	7.33944e-39	1.50445e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	IN	Renter	0	0	1	0	0	4.17447	1207.21	0.000347416
None	0-100%	Multi-Family with 5+ Units	Electricity	KS	Not Available	0	0	0	0	1	8.61733	3756.24	0
None	0-100%	Multi-Family with 5+ Units	Electricity	KS	Owner	0	0	1	0	0	5.79522e-21	7.08137e-39	3.13681e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	KS	Renter	0	0	1	0	0	8.44146	3756.24	9.23681e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	KY	Not Available	0	0	0	0	1	0.642727	1681.77	0
None	0-100%	Multi-Family with 5+ Units	Electricity	KY	Owner	0	0	1	0	0	2.88701e-21	5.23696e-39	2.60824e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	KY	Renter	0	0	1	0	0	0.642727	1681.77	0.000135882
None	0-100%	Multi-Family with 5+ Units	Electricity	LA	Not Available	0	0	0	0	1	3.56149	753.054	0
None	0-100%	Multi-Family with 5+ Units	Electricity	LA	Owner	0	0	1	0	0	5.8205e-21	6.93704e-39	2.01986e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	LA	Renter	0	0	1	0	0	3.493	753.054	0.000209348
None	0-100%	Multi-Family with 5+ Units	Electricity	MA	Not Available	0	0	0	0	1	0.897484	6932.25	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MA	Owner	0	0	1	0	0	0.0812708	52.0091	4.95121e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	MA	Renter	0	0	1	0	0	0.745225	5783.36	0.000267555
None	0-100%	Multi-Family with 5+ Units	Electricity	MD	Not Available	0	0	0	0	1	0.236043	3176.98	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MD	Owner	0	0	1	0	0	0.0258967	10.3402	7.38637e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	MD	Renter	0	0	1	0	0	0.205455	2824.82	0.000160565
None	0-100%	Multi-Family with 5+ Units	Electricity	ME	Not Available	0	0	0	0	1	4.56546	352.283	0
None	0-100%	Multi-Family with 5+ Units	Electricity	ME	Owner	0	0	1	0	0	1.62126e-20	2.54038e-38	5.80221e-08
None	0-100%	Multi-Family with 5+ Units	Electricity	ME	Renter	0	0	1	0	0	4.15042	352.283	2.26569e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	MI	Not Available	0	0	0	0	1	1.12402	4913.76	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MI	Owner	0	0	1	0	0	2.89117e-22	3.98244e-39	2.31947e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	MI	Renter	0	0	1	0	0	1.08388	4913.76	0.000268124
None	0-100%	Multi-Family with 5+ Units	Electricity	MN	Not Available	0	0	0	0	1	4.66995	2066.45	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MN	Owner	0	0	1	0	0	2.41662e-21	2.30669e-39	4.11398e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	MN	Renter	0	0	1	0	0	4.57464	2066.45	0.000183123
None	0-100%	Multi-Family with 5+ Units	Electricity	MO	Not Available	0	0	0	0	1	3.55085	1177.41	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MO	Owner	0	0	1	0	0	4.00822e-21	6.25371e-39	3.19268e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	MO	Renter	0	0	1	0	0	3.47838	1177.41	0.00022707
None	0-100%	Multi-Family with 5+ Units	Electricity	MS	Not Available	0	0	0	0	1	1.88345	1145.74	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MS	Owner	0	0	1	0	0	5.27006e-21	8.34105e-39	4.08621e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	MS	Renter	0	0	1	0	0	1.88345	1145.74	9.92811e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	MT	Not Available	0	0	0	0	1	1.2765	72.9206	0
None	0-100%	Multi-Family with 5+ Units	Electricity	MT	Owner	0	0	1	0	0	2.04267e-20	2.01962e-38	4.21042e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	MT	Renter	0	0	1	0	0	1.2765	72.9206	2.79502e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	NC	Not Available	0	0	0	0	1	0.960866	1959.59	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NC	Owner	0	0	1	0	0	2.73797e-22	1.67027e-39	5.12333e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	NC	Renter	0	0	1	0	0	0.889691	1959.59	0.000390225
None	0-100%	Multi-Family with 5+ Units	Electricity	ND	Not Available	0	0	0	0	1	0.359199	526.68	0
None	0-100%	Multi-Family with 5+ Units	Electricity	ND	Owner	0	0	1	0	0	0.0495625	2.94202	4.96997e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	ND	Renter	0	0	1	0	0	0.306787	450.894	4.62003e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	NE	Not Available	0	0	0	0	1	1.78073	114.468	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NE	Owner	0	0	1	0	0	6.11463e-21	5.62597e-39	5.4925e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	NE	Renter	0	0	1	0	0	1.74439	114.468	7.19387e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	NH	Not Available	0	0	0	0	1	3.66965	90.0904	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NH	Owner	0	0	1	0	0	1.29071e-20	6.37317e-39	5.54892e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	NH	Renter	0	0	1	0	0	3.33604	90.0904	2.47904e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	NJ	Not Available	0	0	0	0	1	0.160369	1955.04	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NJ	Owner	0	0	1	0	0	3.3653e-22	2.1523e-39	5.93612e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	NJ	Renter	0	0	1	0	0	0.160369	1955.04	0.000185093
None	0-100%	Multi-Family with 5+ Units	Electricity	NM	Not Available	0	0	0	0	1	1.80465	196.043	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NM	Owner	0	0	1	0	0	0.518286	11.4095	3.00333e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	NM	Renter	0	0	1	0	0	1.30408	112.864	4.62134e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	NV	Not Available	0	0	0	0	1	0.618027	1124.06	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NV	Owner	0	0	1	0	0	2.02528e-21	1.93135e-39	2.25509e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	NV	Renter	0	0	1	0	0	0.618027	1124.06	0.00012147
None	0-100%	Multi-Family with 5+ Units	Electricity	NY	Not Available	0	0	0	0	1	0.400883	4146.99	0
None	0-100%	Multi-Family with 5+ Units	Electricity	NY	Owner	0	0	1	0	0	0.0183444	28.1354	1.47478e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	NY	Renter	0	0	1	0	0	0.337208	3491.96	0.000500982
None	0-100%	Multi-Family with 5+ Units	Electricity	OH	Not Available	0	0	0	0	1	0.253737	7716.31	0
None	0-100%	Multi-Family with 5+ Units	Electricity	OH	Owner	0	0	1	0	0	2.05582e-22	1.97866e-39	3.00228e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	OH	Renter	0	0	1	0	0	0.253737	7716.31	0.000578538
None	0-100%	Multi-Family with 5+ Units	Electricity	OK	Not Available	0	0	0	0	1	6.78522	2569.11	0
None	0-100%	Multi-Family with 5+ Units	Electricity	OK	Owner	0	0	1	0	0	6.56725e-21	8.30066e-39	5.68414e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	OK	Renter	0	0	1	0	0	6.65474	2569.11	0.000137096
None	0-100%	Multi-Family with 5+ Units	Electricity	OR	Not Available	0	0	0	0	1	0.241787	1867.88	0
None	0-100%	Multi-Family with 5+ Units	Electricity	OR	Owner	0	0	1	0	0	6.82971e-22	4.59986e-39	3.27576e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	OR	Renter	0	0	1	0	0	0.241787	1867.88	0.00033529
None	0-100%	Multi-Family with 5+ Units	Electricity	PA	Not Available	0	0	0	0	1	0.329018	3975.31	0
None	0-100%	Multi-Family with 5+ Units	Electricity	PA	Owner	0	0	1	0	0	4.34351e-22	2.49411e-39	4.92376e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	PA	Renter	0	0	1	0	0	0.329018	3975.31	0.00053663
None	0-100%	Multi-Family with 5+ Units	Electricity	RI	Not Available	0	0	0	0	1	6.2326	652.608	0
None	0-100%	Multi-Family with 5+ Units	Electricity	RI	Owner	0	0	1	0	0	0.412609	16.3554	2.71029e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	RI	Renter	0	0	1	0	0	4.76903	462.337	3.56498e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	SC	Not Available	0	0	0	0	1	5.94937	626.319	0
None	0-100%	Multi-Family with 5+ Units	Electricity	SC	Owner	0	0	1	0	0	0.331233	20.3803	3.18262e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	SC	Renter	0	0	1	0	0	4.51498	420.739	0.000160076
None	0-100%	Multi-Family with 5+ Units	Electricity	SD	Not Available	0	0	0	0	1	5.37271	197.957	0
None	0-100%	Multi-Family with 5+ Units	Electricity	SD	Owner	0	0	1	0	0	1.52877e-20	6.6809e-39	3.11971e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	SD	Renter	0	0	1	0	0	5.26307	197.957	3.79229e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	TN	Not Available	0	0	0	0	1	1.07988	1467.62	0
None	0-100%	Multi-Family with 5+ Units	Electricity	TN	Owner	0	0	1	0	0	1.51661e-21	2.69167e-39	3.99218e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	TN	Renter	0	0	1	0	0	1.07988	1467.62	0.000256729
None	0-100%	Multi-Family with 5+ Units	Electricity	TX	Not Available	0	0	0	0	1	0.951191	15312.3	0
None	0-100%	Multi-Family with 5+ Units	Electricity	TX	Owner	0	0	1	0	0	0.026445	18.4932	1.28188e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	TX	Renter	0	0	1	0	0	0.891903	14266.5	0.00132243
None	0-100%	Multi-Family with 5+ Units	Electricity	UT	Not Available	0	0	0	0	1	1.00614	81.1715	0
None	0-100%	Multi-Family with 5+ Units	Electricity	UT	Owner	0	0	1	0	0	5.29772e-21	2.43405e-39	8.76221e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	UT	Renter	0	0	1	0	0	1.00614	81.1715	3.01888e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	VA	Not Available	0	0	0	0	1	0.627066	699.684	0
None	0-100%	Multi-Family with 5+ Units	Electricity	VA	Owner	0	0	1	0	0	0.0153895	4.42399	6.39334e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	VA	Renter	0	0	1	0	0	0.534448	592.835	0.000263021
None	0-100%	Multi-Family with 5+ Units	Electricity	VT	Not Available	0	0	0	0	1	7.24294	203.496	0
None	0-100%	Multi-Family with 5+ Units	Electricity	VT	Owner	0	0	1	0	0	3.08763e-20	2.11468e-38	5.79216e-08
None	0-100%	Multi-Family with 5+ Units	Electricity	VT	Renter	0	0	1	0	0	6.58449	203.496	9.35698e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	WA	Not Available	0	0	0	0	1	0.538602	6630.2	0
None	0-100%	Multi-Family with 5+ Units	Electricity	WA	Owner	0	0	1	0	0	0.0263279	14.1311	8.23553e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	WA	Renter	0	0	1	0	0	0.483517	6032.15	0.000490245
None	0-100%	Multi-Family with 5+ Units	Electricity	WI	Not Available	0	0	0	0	1	0.389063	4108.11	0
None	0-100%	Multi-Family with 5+ Units	Electricity	WI	Owner	0	0	1	0	0	3.26481e-22	2.5425e-39	2.42328e-06
None	0-100%	Multi-Family with 5+ Units	Electricity	WI	Renter	0	0	1	0	0	0.389063	4108.11	0.00024746
None	0-100%	Multi-Family with 5+ Units	Electricity	WV	Not Available	0	0	0	0	1	3.60927	2136.18	0
None	0-100%	Multi-Family with 5+ Units	Electricity	WV	Owner	0	0	1	0	0	5.52959e-21	5.26352e-38	4.56986e-07
None	0-100%	Multi-Family with 5+ Units	Electricity	WV	Renter	0	0	1	0	0	3.34191	2136.18	6.88354e-05
None	0-100%	Multi-Family with 5+ Units	Electricity	WY	Not Available	0	0	0	0	1	2.57348	623.971	0
None	0-100%	Multi-Family with 5+ Units	Electricity	WY	Owner	0	0	1	0	0	2.29443e-20	5.36462e-38	9.89844e-08
None	0-100%	Multi-Family with 5+ Units	Electricity	WY	Renter	0	0	1	0	0	2.57348	623.971	8.51937e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AK	Not Available	0	0	0	0	1	3.44352	40.4166	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AK	Owner	0	0	1	0	0	6.67359e-20	4.68521e-39	1.23022e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AK	Renter	0	0	1	0	0	3.44352	40.4166	4.29738e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AL	Not Available	0	0	0	0	1	9.17468	3.3636e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AL	Owner	0	0	1	0	0	2.24637e-20	1.87498e-59	1.1706e-11
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AL	Renter	0	0	1	0	0	9.17468	3.3636e-18	7.51233e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AR	Not Available	0	0	0	0	1	17.3126	4.9393e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AR	Owner	0	0	1	0	0	2.40897e-20	3.29832e-59	1.74478e-10
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AR	Renter	0	0	1	0	0	16.9797	4.9393e-18	7.60703e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AZ	Not Available	0	0	0	0	1	2.24197	8.34172e-19	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AZ	Owner	0	0	1	0	0	4.88582e-21	2.79531e-60	6.3772e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	AZ	Renter	0	0	1	0	0	2.13521	8.34172e-19	2.21516e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CA	Not Available	0	0	0	0	1	1.18221	1.35785e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CA	Owner	0	0	1	0	0	0.0210455	1.44632e-21	4.7149e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CA	Renter	0	0	1	0	0	1.10897	1.27067e-18	2.28586e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CO	Not Available	0	0	0	0	1	1.8194	1.8591e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CO	Owner	0	0	1	0	0	4.13361e-21	2.21099e-60	3.19171e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CO	Renter	0	0	1	0	0	1.8194	1.8591e-18	5.70207e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CT	Not Available	0	0	0	0	1	0.38569	5.88177e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CT	Owner	0	0	1	0	0	0.059046	4.40396e-20	3.73142e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	CT	Renter	0	0	1	0	0	0.298114	4.9079e-18	2.34589e-05
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	DC	Not Available	0	0	0	0	1	0.557052	27.6049	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	DC	Owner	0	0	1	0	0	4.28165e-21	5.11439e-40	9.6675e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	DC	Renter	0	0	1	0	0	0.557052	27.6049	1.86774e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	DE	Not Available	0	0	0	0	1	10.133	3.84713e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	DE	Owner	0	0	1	0	0	2.37796e-20	2.22414e-58	2.03937e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	DE	Renter	0	0	1	0	0	9.38239	3.84713e-18	8.85714e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	FL	Not Available	0	0	0	0	1	1.01715	9.1218e-19	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	FL	Owner	0	0	1	0	0	0.223378	2.03427e-20	1.92263e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	FL	Renter	0	0	1	0	0	0.712562	6.60081e-19	1.26635e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	GA	Not Available	0	0	0	0	1	8.47568	1.68333e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	GA	Owner	0	0	1	0	0	2.92214e-21	2.10045e-60	1.97582e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	GA	Renter	0	0	1	0	0	7.84785	1.68333e-18	2.13656e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	HI	Not Available	0	0	0	0	1	1.70711	1.91913e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	HI	Owner	0	0	1	0	0	0.155175	1.91872e-20	2.98069e-10
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	HI	Renter	0	0	1	0	0	1.39674	1.55453e-18	8.15611e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IA	Not Available	0	0	0	0	1	1.21375	3.34607e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IA	Owner	0	0	1	0	0	1.34036e-21	1.70094e-59	3.11568e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IA	Renter	0	0	1	0	0	1.18898	3.34607e-18	1.11406e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	ID	Not Available	0	0	0	0	1	11.4776	4.52859e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	ID	Owner	0	0	1	0	0	6.35546e-20	1.50184e-58	2.26805e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	ID	Renter	0	0	1	0	0	11.4776	4.52859e-18	2.19447e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IL	Not Available	0	0	0	0	1	0.211955	2.00049e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IL	Owner	0	0	1	0	0	0.0185081	2.151e-20	9.55398e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IL	Renter	0	0	1	0	0	0.169979	1.60712e-18	2.10244e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IN	Not Available	0	0	0	0	1	0.824586	1.55801e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IN	Owner	0	0	1	0	0	5.80908e-22	9.47212e-60	1.72011e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	IN	Renter	0	0	1	0	0	0.795137	1.55801e-18	3.55155e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	KS	Not Available	0	0	0	0	1	2.02761	8.278e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	KS	Owner	0	0	1	0	0	1.36358e-21	1.56059e-59	3.49845e-11
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	KS	Renter	0	0	1	0	0	1.98623	8.278e-18	1.34673e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	KY	Not Available	0	0	0	0	1	2.82241	3.679e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	KY	Owner	0	0	1	0	0	1.26778e-20	1.14563e-59	8.67007e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	KY	Renter	0	0	1	0	0	2.82241	3.679e-18	1.8537e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	LA	Not Available	0	0	0	0	1	6.78699	9.79605e-19	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	LA	Owner	0	0	1	0	0	1.10919e-20	9.024e-60	2.12801e-12
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	LA	Renter	0	0	1	0	0	6.65647	9.79605e-19	1.279e-10
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MA	Not Available	0	0	0	0	1	0.329078	1063.2	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MA	Owner	0	0	1	0	0	0.0297993	7.97664	8.75718e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MA	Renter	0	0	1	0	0	0.273249	886.995	3.66096e-05
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MD	Not Available	0	0	0	0	1	1.83387	2.43663e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MD	Owner	0	0	1	0	0	0.201197	7.93056e-21	1.31931e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MD	Renter	0	0	1	0	0	1.59623	2.16654e-18	2.77962e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	ME	Not Available	0	0	0	0	1	0.784688	42.2703	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	ME	Owner	0	0	1	0	0	2.78654e-21	3.04819e-39	7.18555e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	ME	Renter	0	0	1	0	0	0.713353	42.2703	2.88305e-05
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MI	Not Available	0	0	0	0	1	1.2262	3.13899e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MI	Owner	0	0	1	0	0	3.154e-22	2.54404e-60	1.01459e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MI	Renter	0	0	1	0	0	1.18241	3.13899e-18	9.74097e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MN	Not Available	0	0	0	0	1	1.09881	2.75941e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MN	Owner	0	0	1	0	0	5.68617e-22	3.0802e-60	5.26721e-08
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MN	Renter	0	0	1	0	0	1.07639	2.75941e-18	2.32446e-06
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MO	Not Available	0	0	0	0	1	0.835494	1.29902e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MO	Owner	0	0	1	0	0	9.4311e-22	6.89962e-60	5.45093e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MO	Renter	0	0	1	0	0	0.818443	1.29902e-18	2.68028e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MS	Not Available	0	0	0	0	1	8.27078	2.32555e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MS	Owner	0	0	1	0	0	2.31424e-20	1.69301e-59	2.49706e-11
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MS	Renter	0	0	1	0	0	8.27078	2.32555e-18	4.98928e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MT	Not Available	0	0	0	0	1	5.60551	9.25897e-19	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MT	Owner	0	0	1	0	0	8.96997e-20	2.56438e-58	3.06847e-09
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	MT	Renter	0	0	1	0	0	5.60551	9.25897e-19	1.9353e-07
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	NC	Not Available	0	0	0	0	1	8.8225	1.53087e-18	0
None	0-100%	Multi-Family with 5+ Units	Fuel Oil	NC	Owner	0	0	1	0	0	2.51395e-21	1.30485e-60	8.87468e-09
